GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR
7101;Büsingen am Hochrhein;0;0;0;763;2691588;2696038;1282305;1285716;2693800;1284200;391;487;419;415;418
7301;Campione d'Italia;0;0;0;91;2718570;2719421;1091165;1093556;2718600;1092300;270;596;379;372;270
