BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;
10097;1107;Bezirk Lebern;11;2;11717;2592561;2613794;1223174;1236171;2602600;1230200;417;1445;706;579;
10111;1108;Bezirk Olten;11;2;8057;2626820;2644760;1235132;1249321;2631300;1241700;363;1122;502;447;
10095;1109;Bezirk Solothurn;11;2;628;2605355;2608612;1227225;1229927;2606900;1228600;424;500;439;433;
10094;1110;Bezirk Thierstein;11;2;10227;2595270;2615546;1242062;1255060;2609500;1247900;326;1205;653;637;
10093;1200;Kanton Basel-Stadt;12;3;3695;2608733;2619191;1263185;1272279;2611300;1267500;244;522;294;273;
10092;1301;Bezirk Arlesheim;13;3;9622;2604463;2617809;1254898;1268191;2611100;1259700;245;765;350;331;
10236;1302;Bezirk Laufen;13;3;8956;2591443;2614134;1247622;1257755;2604900;1252900;293;865;503;486;
10237;1303;Bezirk Liestal;13;3;8586;2617092;2626687;1251339;1265471;2621800;1259000;254;757;424;426;
10238;1304;Bezirk Sissach;13;3;14104;2625363;2639481;1247112;1265027;2632100;1256000;334;1001;562;564;
10240;1305;Bezirk Waldenburg;13;3;10499;2614650;2630616;1243060;1254962;2623300;1248900;389;1168;699;680;
10091;1401;Bezirk Oberklettgau;14;5;3188;2676908;2684642;1279043;1288362;2680700;1282300;393;869;514;482;
10090;1402;Bezirk Reiat;14;5;3933;2689334;2697701;1283013;1295142;2693300;1289300;391;705;531;517;
10089;1403;Bezirk Schaffhausen;14;5;10573;2682371;2695086;1267448;1295934;2687400;1286900;343;912;563;533;
10088;1404;Bezirk Schleitheim;14;5;4363;2675847;2684831;1284259;1293269;2678000;1289000;445;911;613;581;
10087;1405;Bezirk Stein;14;5;3098;2699872;2707983;1278679;1288416;2704100;1283500;393;685;460;430;
10086;1406;Bezirk Unterklettgau;14;5;4661;2672515;2682346;1276929;1287127;2674900;1282400;389;642;484;481;
10054;1501;Bezirk Hinterland;15;5;13616;2732375;2745548;1234615;1251775;2739000;1244000;588;2501;963;914;
10098;1502;Bezirk Mittelland;15;5;6027;2743497;2756531;1245930;1255666;2751300;1250400;566;1250;936;937;
10057;1503;Bezirk Vorderland;15;5;4641;2751877;2765346;1251659;1259712;2755200;1254600;431;1129;822;831;
10252;1600;Kanton Appenzell Innerrhoden;16;5;17248;2741442;2764416;1233274;1257039;2748500;1241500;540;2502;1129;1029;
10266;1721;Wahlkreis St. Gallen;17;5;15767;2733811;2757775;1251007;1266282;2742800;1256800;450;1074;670;653;
10265;1722;Wahlkreis Rorschach;17;5;5046;2745564;2761628;1256279;1263666;2751200;1260000;392;899;510;491;
