UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{67C1FBED-714F-402E-B0B4-F5EAB5591453};Strasse;TLM_STRASSE;Tunnel;{8FA448DD-BF8B-41E6-978A-F1C46FA7AE55};Plazzastunnel;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2750482;1186280;645
{FE781FD7-ADCF-44CA-A1A9-88D417AD0B66};Strasse;TLM_STRASSE;Tunnel;{580D5099-1DC8-4B9C-B243-4E89F0BDFDA7};Galerie de Sorvilier;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2590330;1231346;775
{D8E6D7C7-4CB1-4978-9B3D-D0B68B25DD8E};Strasse;TLM_STRASSE;Bruecke;{4FA2EF9C-0E93-4A75-A87D-40DA195FED14};Averser Brücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2752607;1160599;1129
{E2F748DD-E365-4ED9-ADB7-A9A17B05E324};Strasse;TLM_STRASSE;Bruecke;{5404B680-19AA-4AD4-976E-12ADE94FEB11};Rheinfelder Brücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2624068;1266458;261
{38B6D16F-DD58-456E-92FC-1DFB750E4EE0};Strasse;TLM_STRASSE;Tunnel;{46A54996-D05C-4855-8216-90A8ED6AF7BE};Leimerntunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2618581;1169954;670
{40D96E8A-CFCE-4CC9-ACB4-650293B10B37};Strasse;TLM_STRASSE;Keine;{81A57181-0643-463A-8246-EA403341111E};Panoramastrasse;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2652890;1186620;1021
{644D95BA-FF99-47F7-A94D-3FA1E477FB18};Strasse;TLM_STRASSE;Bruecke;{94BE6B92-A839-4AB5-A63C-FA1186D1BE45};Aarbrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2598667;1224567;427
{45A7DCBC-FE74-42F6-B9DD-4B9F91BBB3A0};Strasse;TLM_STRASSE;Bruecke;{2D29E0F6-B50D-4CA8-A672-13D990750900};Ponts sur la Dia;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2546255;1190220;496
{36E9C5A5-797B-47D2-9B6C-C44817DC908D};Strasse;TLM_STRASSE;Bruecke;{700C9365-DAB3-46C1-B1AD-B6947BBE9BBD};Limmatbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2674151;1250370;386
{BAD5B6C5-1F3D-4E2C-9A81-F83B464E3EE0};Strasse;TLM_STRASSE;Bruecke;{360D966B-6971-47D2-98E5-710A6691E084};Viaduc de Chanélaz;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2554946;1200397;442
{64380A67-265A-42D4-A48A-1F380E2B5EB0};Strasse;TLM_STRASSE;Galerie;{3422A701-541A-451F-BB47-0D9AF7262CE2};Galleria Seda;offiziell;Italienisch inkl. Lokalsprachen;einfacher Name;;2737201;1143869;1374
{5D10E4BB-30DB-486C-A2DC-B97F938500A3};Strasse;TLM_STRASSE;Tunnel;{0C3CA5CE-BDFE-4E53-AAA9-E8E61D0CC1CB};Neufeldtunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2599865;1201301;571
{4AD020DF-FE3F-4C9D-8A64-077F3406A05F};Strasse;TLM_STRASSE;Bruecke;{C147F34B-6E90-4A77-98E4-2E6A714D0DFD};Pont des Siernes Picaz;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2579760;1149861;1095
{8614D44B-CBFB-43A3-9691-61C85A24A001};Strasse;TLM_STRASSE;Bruecke;{A64C2DBF-3481-4785-B57E-29B3348323B6};Hirnisgrabenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2689401;1281332;452
{4FCE2C69-AA29-4C6F-BD3B-1D301504C1F5};Strasse;TLM_STRASSE;Keine;{F9790A1D-D006-4F7F-B31E-705CD1BEEABB};Galerie Défago;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2556397;1113275;1110
{C3393AAB-2312-4CFB-80F5-EFCAB77586C0};Strasse;TLM_STRASSE;Bruecke;{E8254DC0-677C-4E6E-AE58-205C02D6CC04};Gigenbachbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2687931;1194795;464
{09645D46-AEC9-47FD-B941-1BEC56982FA6};Strasse;TLM_STRASSE;Tunnel;{1E538AB9-A0C6-4100-9A21-B6723A3D8B85};Tunnel du Bois de Montaigre;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2569917;1249768;513
{2951B00D-173B-43C7-984B-A72699521EBF};Strasse;TLM_STRASSE;Tunnel;{901560E1-B1D1-4F4C-B975-A21192F3EDFB};Giessbachtunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2644299;1175768;711
{62AAD38B-8122-4177-A112-B278631201BF};Strasse;TLM_STRASSE;Bruecke;{C3937F29-C2B9-4970-8C8D-56786C3DE481};Aaretalbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2654768;1257166;341
{D76D6467-3CC9-4C54-A389-90069ABEE5DB};Strasse;TLM_STRASSE;Tunnel;{92701EC3-D0DB-427A-ADBF-BEAFF4E7825D};Ofeneggtunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2727550;1220691;539
{2D84FE95-0D22-4500-BAC3-CF0A4A1473C7};Strasse;TLM_STRASSE;Tunnel;{ABC4773B-CE81-4263-BC4F-899D58D317BB};Spitalhoftunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2607046;1227132;456
{6F043B47-BFE9-42B5-A2A7-1147ECFA2B2A};Strasse;TLM_STRASSE;Bruecke;{46E8F010-8446-43F0-8020-721772DE01C5};Pont du Drou;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2519157;1160635;685
{B310315B-8082-47AE-A384-D8A467CB8A66};Strasse;TLM_STRASSE;k_W;{E61E8665-409A-4320-AECF-3D22D0BA4211};Zittergrat-Klettersteig;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2674337;1188297;1967
{595A2939-E907-42A6-93D9-61ED98BCB795};Strasse;TLM_STRASSE;Keine;{6637DD87-6392-49B8-81D4-2627966AC544};Müntschemiergasse;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2575319;1206001;474
{4C85C628-7C53-4D97-9C68-A609D104BAB0};Strasse;TLM_STRASSE;Keine;{AF4868B5-4FB6-4197-BE4F-1D0D1411DF89};Müliweg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2677156;1289089;511
{B0FAB1FC-26F6-4551-BFF3-4CAF10B7826D};Strasse;TLM_STRASSE;Keine;{ECB75CC3-10C2-4C7D-B2F7-1F792F51F1F9};Europaweg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2628738;1106443;2328
{C9E3B55E-AF6E-44F5-BC29-90624934ED16};Strasse;TLM_STRASSE;Bruecke;{F2C35CCD-A87E-4E8C-9E97-C5CA86F7AB77};Ganterbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2647197;1127373;1350
{33B5BE80-B0D1-43D8-8790-EC49A42E9473};Strasse;TLM_STRASSE;Bruecke;{E5D30E80-E254-471C-B1B7-459B22A57BED};Hängebrücke Batöni;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2745703;1202582;1525
{8CBCAC1A-A223-458A-9A29-479576B1EAFA};Strasse;TLM_STRASSE;Keine;{47AC393D-40E5-4602-A6CC-00774CA39D4B};Felsenweg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2672926;1205987;997
{EB657D19-64C9-48BE-9535-92504AD246D5};Strasse;TLM_STRASSE;Bruecke;{B291CF01-EC72-4104-AF24-25CD104D503C};Fronbachbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2647262;1126673;1567
{A628A855-104B-40D8-9D53-1B11B5903F8F};Strasse;TLM_STRASSE;Galerie;{7C10E624-17BF-4C03-8031-9533C853B33A};Güetligalerie;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2691168;1176518;739
{814B1603-7BD4-457E-8689-928067294C47};Strasse;TLM_STRASSE;Tunnel;{26F51A9A-2D67-4181-8500-B88B55DAEDC8};Tunnel de Neu-Bois;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2567062;1257758;535
{CA09C3B3-9E7C-4B2A-8524-C79A7AA50D64};Strasse;TLM_STRASSE;Bruecke;{99E79C5C-0E11-42FE-8BF7-5A533FE96512};Reppischtalbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2674393;1246050;457
{99F01044-789B-4C76-88BB-D9FE55A1FD2C};Strasse;TLM_STRASSE;Tunnel;{B688B353-578E-4700-8B34-A5420D3F662B};Ölbergtunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2689394;1202643;558
{CA7B392A-93FD-4046-9518-9850B5936804};Strasse;TLM_STRASSE;Bruecke;{2B22D187-03F7-48F6-B08E-AB97307D7467};Pont de la Grande Combe;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2521420;1175489;786
{B67EEB20-7CF8-4CD7-BBA9-33E0A14AA07A};Strasse;TLM_STRASSE;Bruecke;{B54785AA-9DFC-45AA-A17D-2A6F5905BCC9};Urmibergviadukt;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2690504;1208731;456
{4C88A285-2E89-490F-B817-563CE7140A0E};Strasse;TLM_STRASSE;Keine;{2D0ADA16-DD67-4E1E-BEA8-7F681CBB6A76};Viamala;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2753698;1200388;1640
{347BFAEC-5AFA-4F81-AEA1-4A813F2333EA};Strasse;TLM_STRASSE;Keine;{F0A9AD01-6F25-43C6-A717-B7CEDACCC334};Ancien Bisse de la Mura;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2595995;1113692;1804
{92F437F8-3737-4384-88A3-D9841D7FEAEF};Strasse;TLM_STRASSE;Bruecke;{DC8A3E71-FA9D-4CB8-A627-BE0F54AC44E1};Wägitaler Aa-Brücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2708398;1227998;416
{E328E052-C190-4DAD-B3B3-AB0874E1967D};Strasse;TLM_STRASSE;Bruecke;{31C6191C-F8EC-40D3-ACD6-1534E93689AE};Durstbachbrücke 2;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2646772;1126075;1656
{482AAC47-A7F9-44E8-8314-8007CBDE6A06};Strasse;TLM_STRASSE;Bruecke;{107F97B4-A3AA-445F-97EF-88CD3C5275D5};Punt Crusch;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2818653;1195227;1919
{26E8D085-83A6-4A31-9648-0944F966CA59};Strasse;TLM_STRASSE;Bruecke;{9B1D500D-E89C-48C9-938C-E55153E1D546};Pont sur l'Arnon;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2540757;1186253;445
{776E7E9D-2532-4B33-AC85-E86661B49EE1};Strasse;TLM_STRASSE;Keine;{369E0894-2BDE-4D0E-BAC4-F4B728506DDA};Alte Römerstrasse;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2676157;1281833;415
{C156308C-5F06-4801-90AD-77EDB388B2E5};Strasse;TLM_STRASSE;Tunnel;{89E5D9BD-6163-43D7-8EB4-E7CB478E5417};Reinach;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2612277;1260537;296
{82160E84-EEC4-4635-9B91-7D783655D2AE};Strasse;TLM_STRASSE;Tunnel;{1B2DACE2-2116-41FA-B35B-DDFB6CC9A6DC};Stadttunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2665269;1211751;439
{9EB6817E-46BF-45F3-8AA5-E9624C42CC41};Strasse;TLM_STRASSE;Bruecke;{EEFB8E16-885B-441D-B722-89603AB36FCA};Räppierbachbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2735332;1154743;1603
{08F23995-251E-47B6-81BC-CAFBBB1E989A};Strasse;TLM_STRASSE;Galerie;{221D680A-5B9A-44CC-BD15-A5F7C4FDA7BA};Galerie de Chantemerle;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2576427;1196652;483
{F099776A-8D09-441E-88EA-170BCB899EC0};Strasse;TLM_STRASSE;Tunnel;{485C016A-9B4C-461A-AA98-204BA4742062};Tunnel Les Vignes;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2575235;1195853;480
{ED4C2DD8-7C09-460A-9CB2-9176FD0D1E2C};Strasse;TLM_STRASSE;Keine;{9E34AB4C-765D-40C7-99E5-77FC0CB0ECF1};Pont de la Sionne;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2594231;1121588;603
{695A011A-617F-4D46-8F76-4ACABA17C207};Strasse;TLM_STRASSE;Bruecke;{700C9365-DAB3-46C1-B1AD-B6947BBE9BBD};Limmatbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2674148;1250371;385
